"Training Date","Phase","Target Sets","Target Reps per Set","Total Target Push-ups","COMPLETED (Y/N)","COMPLETED THUS FAR","TOTAL GOAL","LEFT REMAINING","PHASE","","","","","","","","","","","","","","","","",""
"03-11-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-12-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-14-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-17-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-18-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-20-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-23-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-25-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-26-2025","Foundation","3","5","15","Y","","","","1","","","","","","","","","","","","","","","","",""
"03-28-2025","Foundation","3","5","15","Y","150","150","0","1","","","","","","","","","","","","","","","","",""
"03-30-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-01-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-04-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-06-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-07-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-10-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-11-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-13-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-16-2025","Foundation","4","8","32","Y","","","","2","","","","","","","","","","","","","","","","",""
"04-17-2025","Foundation","4","8","32","Y","320","320","64","2","","","","","","","","","","","","","","","","",""
"04-19-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-21-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-23-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-25-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-28-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"04-30-2025","Foundation","5","10","50","Y","","","","3","","","","","","","","","","","","","","","","",""
"05-12-2025","Foundation","5","10","50","","","","","3","","","","","","","","","","","","","","","","",""
"05-14-2025","Foundation","5","10","50","","","","","3","","","","","","","","","","","","","","","","",""
"05-16-2025","Foundation","5","10","50","","","","","3","","","","","","","","","","","","","","","","",""
"05-18-2025","Foundation","5","10","50","","300","500","350","3","","","","","","","","","","","","","","","","",""
"05-20-2025","Foundation","6","15","90","","","","","4","","","","","","","","","","","","","","","","",""
"05-22-2025","Foundation","7","17","119","","","","","4","","","","","","","","","","","","","","","","",""
"05-24-2025","Foundation","8","19","152","","","","","4","","","","","","","","","","","","","","","","",""
"05-26-2025","Foundation","6","15","90","","","","","4","","","","","","","","","","","","","","","","",""
"05-28-2025","Foundation","7","17","119","","","","","4","","","","","","","","","","","","","","","","",""
"05-30-2025","Foundation","8","19","152","","","","","4","","","","","","","","","","","","","","","","",""
"06-01-2025","Foundation","6","15","90","","","","","4","","","","","","","","","","","","","","","","",""
"06-03-2025","Foundation","7","17","119","","0","931","-931","4","","","","","","","","","","","","","","","","",""
"06-05-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"06-07-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"06-09-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"06-11-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"06-13-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"06-15-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"06-17-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"06-19-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"06-21-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"06-23-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"06-25-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"06-27-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"06-29-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"07-01-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"07-03-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"07-05-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"07-07-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"07-09-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"07-11-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"07-13-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"07-15-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"07-17-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"07-19-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"07-21-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"07-23-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"07-25-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"07-27-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"07-29-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"07-31-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"08-02-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"08-04-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"08-06-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"08-08-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"08-10-2025","Volume Buildup","8","35","280","","","","","5","","","","","","","","","","","","","","","","",""
"08-12-2025","Volume Buildup","8","25","200","","","","","5","","","","","","","","","","","","","","","","",""
"08-14-2025","Volume Buildup","8","30","240","","","","","5","","","","","","","","","","","","","","","","",""
"08-16-2025","Volume Buildup","8","35","280","","0","8920","-8920","5","","","","","","","","","","","","","","","","",""
"08-18-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"08-20-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"08-22-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"08-24-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"08-26-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"08-28-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"08-30-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-01-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-03-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"09-05-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-07-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-09-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"09-11-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-13-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-15-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"09-17-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-19-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-21-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"09-23-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-25-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"09-27-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"09-29-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-01-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-03-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"10-05-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-07-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-09-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"10-11-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-13-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-15-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"10-17-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-19-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-21-2025","Endurance & High-Volume","7","50","350","","","","","6","","","","","","","","","","","","","","","","",""
"10-23-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-25-2025","Endurance & High-Volume","8","50","400","","","","","6","","","","","","","","","","","","","","","","",""
"10-27-2025","Endurance & High-Volume","7","50","350","","0","13800","-13800","6","","","","","","","","","","","","","","","","",""
"10-29-2025","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10-31-2025","","","","","SUBTOTAL","770","","","","","","","","","","","","","","","","","","","",""
"11-02-2025","","","","","AWAY FROM GOAL","23851","","","","","","","","","","","","","","","","","","","",""
"11-04-2025","","","","","TOTAL GOAL","","24621","","","","","","","","","","","","","","","","","","",""